bird,filename,RAlesion,PNN_remov,song_when,intro_notes,harm_stacks,FM_sweeps,other,song_length
O23,O23_42358.27978433_12_20_7_46_18.wav,0,3,day 90,4,1,1,3,
G41,G41_42366.28885451_12_28_8_1_25_song1.wav,1,3,prelesion,2,0,4,4,
G41,G41_42366.28885451_12_28_8_1_25_song2.wav,1,3,prelesion,3,0,8,12,
G41,G41_42366.28900872_12_28_8_1_40.wav,1,3,prelesion,3,0,4,5,
G41,G41_42366.28900872_12_28_8_1_40_song2.wav,1,3,prelesion,3,0,3,4,
G41,G41_42366.28910838_12_28_8_1_50.wav,1,3,prelesion,2,0,5,7,
G41,G41_42409.26439935_2_9_7_20_39_song2,1,3,preinjection,2,2,5,6,
G41,G41_42409.26439935_2_9_7_20_39_song1,1,3,preinjection,4,2,9,7,
G41,G41_42409.26459593_2_9_7_20_59_song1.wav,1,3,preinjection,2,2,0,10,
G41,G41_42409.26471235_2_9_7_21_11_song2.wav,1,3,preinjection,2,2,2,8,
G41,G41_42409.26471235_2_9_7_21_11_song1.wav,1,3,preinjection,1,2,2,9,
G41,G41_42470.31691821_4_10_8_48_11.wav,1,3,day 90,2,4,2,2,
G41,G41_42470.31706776_4_10_8_48_26.wav,1,3,day 90,2,4,2,2,
G41,G41_42470.34182932_4_10_9_29_42.wav,1,3,day 90,3,6,2,2,
G41,G41_42470.34255969_4_10_9_30_55.wav,1,3,day 90,2,12,3,3,
G41,G41_42470.34271135_4_10_9_31_11.wav,1,3,day 90,2,7,2,4,
B59,B59_42494.25659623_5_4_7_7_39.wav,0,0,prelesion,4,0,5,5,
B59,B59_42494.25674486_5_4_7_7_54.wav,0,0,prelesion,1,0,4,7,
B59,B59_42494.25896536_5_4_7_11_36.wav,0,0,prelesion,3,0,7,12,
B59,B59_42494.25967094_5_4_7_12_47.wav,0,0,prelesion,4,0,4,7,
B59,B59_42494.25967094_5_4_7_12_47.wav,0,0,prelesion,1,0,4,7,
B59,B59_42589.27158407_8_7_7_32_38.wav,0,0,day 90,2,0,5,5,
B59,B59_42589.27480676_8_7_7_38_0_song1.wav,0,0,day 90,1,0,6,10,
B59,B59_42589.27480676_8_7_7_38_0_song2.wav,0,0,day 90,1,0,5,7,
B59,B59_42589.27515787_8_7_7_38_35.wav,0,0,day 90,3,0,5,10,
B59,B59_42589.27534459_8_7_7_38_54.wav,0,0,day 90,1,0,6,11,
B58,B58_42494.25805070_5_4_7_10_5_song1.wav,1,0,prelesion,0,2,11,6,
B58,B58_42494.25805070_5_4_7_10_5_song2.wav,1,0,prelesion,0,2,9,5,
B58,B58_42494.26058152_5_4_7_14_18_song1.wav,1,0,prelesion,1,2,11,5,
B58,B58_42494.26058152_5_4_7_14_18_song2.wav,1,0,prelesion,0,2,9,5,
B58,B58_42494.26576148_5_4_7_22_56.wav,1,0,prelesion,0,3,11,5,
